id_usuario_x_identificador;fecha_alta;id_identificador;id_usuario;id_usuario_alta
2511189;2025-06-04 16:26:50,000;1225252;39930;39932
2511190;2025-06-04 16:26:50,000;1225253;39930;39932
2511191;2025-06-04 16:26:50,000;1225254;39930;39932
2511192;2025-06-04 16:26:50,000;1225255;39930;39932
2511193;2025-06-04 16:26:50,000;1225256;39930;39932
2511194;2025-06-04 16:26:50,000;1225257;39930;39932
2511195;2025-06-04 16:26:50,000;1225258;39930;39932
2511196;2025-06-04 16:26:50,000;1225259;39930;39932
2511197;2025-06-04 16:26:50,000;1225260;39930;39932
2511198;2025-06-04 16:26:50,000;1225261;39930;39932
2511199;2025-06-04 16:26:50,000;1225262;39930;39932
2511200;2025-06-04 16:26:50,000;1225263;39930;39932
2511201;2025-06-04 16:26:50,000;1225264;39930;39932
2511202;2025-06-04 16:26:50,000;1225265;39930;39932
2511203;2025-06-04 16:26:50,000;1225266;39930;39932
2511204;2025-06-04 16:26:50,000;1225267;39930;39932
2511205;2025-06-04 16:26:50,000;1225268;39930;39932
2511206;2025-06-04 16:26:50,000;1225269;39930;39932
2511207;2025-06-04 16:26:50,000;1225270;39930;39932
2511208;2025-06-04 16:26:50,000;1225271;39930;39932
2511209;2025-06-04 16:26:50,000;1225272;39930;39932
2511210;2025-06-04 16:26:50,000;1225273;39930;39932
2511211;2025-06-04 16:26:50,000;1225274;39930;39932
2511212;2025-06-04 16:26:50,000;1225275;39930;39932
2511213;2025-06-04 16:26:50,000;1225276;39930;39932
2511214;2025-06-04 16:26:50,000;1225277;39930;39932
2511215;2025-06-04 16:26:50,000;1225278;39930;39932
2511216;2025-06-04 16:26:50,000;1225279;39930;39932
2511217;2025-06-04 16:26:50,000;1225280;39930;39932
2511218;2025-06-04 16:26:50,000;1225281;39930;39932
2511219;2025-06-04 16:26:50,000;1225282;39930;39932
2511220;2025-06-04 16:26:50,000;1225283;39930;39932
2511221;2025-06-04 16:26:50,000;1225284;39930;39932
2511222;2025-06-04 16:26:50,000;1225285;39930;39932
2511223;2025-06-04 16:26:50,000;1225286;39930;39932
2511224;2025-06-04 16:26:50,000;1225287;39930;39932
2511225;2025-06-04 16:26:50,000;1225288;39930;39932
2511226;2025-06-04 16:26:50,000;1225289;39930;39932
2511227;2025-06-04 16:26:50,000;1225290;39930;39932
2511228;2025-06-04 16:26:50,000;1225291;39930;39932
2511229;2025-06-04 16:26:50,000;1225292;39930;39932
2511230;2025-06-04 16:26:50,000;1225293;39930;39932
2511231;2025-06-04 16:26:50,000;1225294;39930;39932
2511232;2025-06-04 16:26:50,000;1225295;39930;39932
2511233;2025-06-04 16:26:50,000;1225296;39930;39932
2511234;2025-06-04 16:26:50,000;1225297;39930;39932
2511235;2025-06-04 16:26:50,000;1225298;39930;39932
2511236;2025-06-04 16:26:50,000;1225299;39930;39932
2511237;2025-06-04 16:26:50,000;1225300;39930;39932
2511238;2025-06-04 16:26:50,000;1225301;39930;39932
2511239;2025-06-04 16:26:50,000;1225302;39930;39932
2511240;2025-06-04 16:26:50,000;1225303;39930;39932
2511241;2025-06-04 16:26:50,000;1225304;39930;39932
2511242;2025-06-04 16:26:50,000;1225305;39930;39932
2511243;2025-06-04 16:26:50,000;1225306;39930;39932
2511244;2025-06-04 16:26:50,000;1225307;39930;39932
2511245;2025-06-04 16:26:50,000;1225308;39930;39932
2511246;2025-06-04 16:26:50,000;1225309;39930;39932
2511247;2025-06-04 16:26:50,000;1225310;39930;39932
2511248;2025-06-04 16:26:50,000;1225311;39930;39932
2511249;2025-06-04 16:26:50,000;1225312;39930;39932
2511250;2025-06-04 16:26:50,000;1225313;39930;39932
2511251;2025-06-04 16:26:50,000;1225314;39930;39932
2511252;2025-06-04 16:26:50,000;1225315;39930;39932
2511253;2025-06-04 16:26:50,000;1225316;39930;39932
