id_ubicacionxbarrio;latitud;longitud;id_barrio
700180;-34,490092407;-58,4791579239999;14087
700181;-34,4902327949999;-58,479065124;14087
700182;-34,4904826389999;-58,4789461519999;14087
700183;-34,490637304;-58,47891046;14087
700184;-34,4907681729999;-58,478868819;14087
700185;-34,490893096;-58,478839076;14087
700186;-34,4910001719999;-58,478815281;14087
700187;-34,491154837;-58,4787795889999;14087
700188;-34,4912916549999;-58,478773641;14087
700189;-34,491446321;-58,4788033839999;14087
700190;-34,491654524;-58,4788212299999;14087
700191;-34,4918190538206;-58,4787981775423;14087
700192;-34,4919611201967;-58,4787034666249;14087
700193;-34,4920433691513;-58,478668573129;14087
700194;-34,4921181409283;-58,4786660807364;14087
700195;-34,4922028822755;-58,4786959894472;14087
700196;-34,4922672339999;-58,478672514;14087
700197;-34,492404054;-58,478624925;14087
