Date;Año;NroMes;Mes;NroTrimestre;Trimestre;Día
1900-07-21 00:00:00,000;1900;7;"julio";3;"Trim. 3";21
1900-07-22 00:00:00,000;1900;7;"julio";3;"Trim. 3";22
1900-07-23 00:00:00,000;1900;7;"julio";3;"Trim. 3";23
1900-07-24 00:00:00,000;1900;7;"julio";3;"Trim. 3";24
1900-07-25 00:00:00,000;1900;7;"julio";3;"Trim. 3";25
1900-07-26 00:00:00,000;1900;7;"julio";3;"Trim. 3";26
1900-07-27 00:00:00,000;1900;7;"julio";3;"Trim. 3";27
1900-07-28 00:00:00,000;1900;7;"julio";3;"Trim. 3";28
1900-07-29 00:00:00,000;1900;7;"julio";3;"Trim. 3";29
1900-07-30 00:00:00,000;1900;7;"julio";3;"Trim. 3";30
1900-07-31 00:00:00,000;1900;7;"julio";3;"Trim. 3";31
1900-08-01 00:00:00,000;1900;8;"agosto";3;"Trim. 3";1
1900-08-02 00:00:00,000;1900;8;"agosto";3;"Trim. 3";2
1900-08-03 00:00:00,000;1900;8;"agosto";3;"Trim. 3";3
1900-08-04 00:00:00,000;1900;8;"agosto";3;"Trim. 3";4
1900-08-05 00:00:00,000;1900;8;"agosto";3;"Trim. 3";5
1900-08-06 00:00:00,000;1900;8;"agosto";3;"Trim. 3";6
1900-08-07 00:00:00,000;1900;8;"agosto";3;"Trim. 3";7
1900-08-08 00:00:00,000;1900;8;"agosto";3;"Trim. 3";8
1900-08-09 00:00:00,000;1900;8;"agosto";3;"Trim. 3";9
1900-08-10 00:00:00,000;1900;8;"agosto";3;"Trim. 3";10
1900-08-11 00:00:00,000;1900;8;"agosto";3;"Trim. 3";11
1900-08-12 00:00:00,000;1900;8;"agosto";3;"Trim. 3";12
1900-08-13 00:00:00,000;1900;8;"agosto";3;"Trim. 3";13
1900-08-14 00:00:00,000;1900;8;"agosto";3;"Trim. 3";14
1900-08-15 00:00:00,000;1900;8;"agosto";3;"Trim. 3";15
1900-08-16 00:00:00,000;1900;8;"agosto";3;"Trim. 3";16
1900-08-17 00:00:00,000;1900;8;"agosto";3;"Trim. 3";17
1900-08-18 00:00:00,000;1900;8;"agosto";3;"Trim. 3";18
1900-08-19 00:00:00,000;1900;8;"agosto";3;"Trim. 3";19
1900-08-20 00:00:00,000;1900;8;"agosto";3;"Trim. 3";20
1900-08-21 00:00:00,000;1900;8;"agosto";3;"Trim. 3";21
1900-08-22 00:00:00,000;1900;8;"agosto";3;"Trim. 3";22
1900-08-23 00:00:00,000;1900;8;"agosto";3;"Trim. 3";23
1900-08-24 00:00:00,000;1900;8;"agosto";3;"Trim. 3";24
1900-08-25 00:00:00,000;1900;8;"agosto";3;"Trim. 3";25
1900-08-26 00:00:00,000;1900;8;"agosto";3;"Trim. 3";26
1900-08-27 00:00:00,000;1900;8;"agosto";3;"Trim. 3";27
1900-08-28 00:00:00,000;1900;8;"agosto";3;"Trim. 3";28
1900-08-29 00:00:00,000;1900;8;"agosto";3;"Trim. 3";29
1900-08-30 00:00:00,000;1900;8;"agosto";3;"Trim. 3";30
1900-08-31 00:00:00,000;1900;8;"agosto";3;"Trim. 3";31
1900-09-01 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";1
1900-09-02 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";2
1900-09-03 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";3
1900-09-04 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";4
1900-09-05 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";5
1900-09-06 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";6
1900-09-07 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";7
1900-09-08 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";8
1900-09-09 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";9
1900-09-10 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";10
1900-09-11 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";11
1900-09-12 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";12
1900-09-13 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";13
1900-09-14 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";14
1900-09-15 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";15
1900-09-16 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";16
1900-09-17 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";17
1900-09-18 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";18
1900-09-19 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";19
1900-09-20 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";20
1900-09-21 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";21
1900-09-22 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";22
1900-09-23 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";23
1900-09-24 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";24
1900-09-25 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";25
1900-09-26 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";26
1900-09-27 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";27
1900-09-28 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";28
1900-09-29 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";29
1900-09-30 00:00:00,000;1900;9;"septiembre";3;"Trim. 3";30
1900-10-01 00:00:00,000;1900;10;"octubre";4;"Trim. 4";1
1900-10-02 00:00:00,000;1900;10;"octubre";4;"Trim. 4";2
1900-10-03 00:00:00,000;1900;10;"octubre";4;"Trim. 4";3
1900-10-04 00:00:00,000;1900;10;"octubre";4;"Trim. 4";4
1900-10-05 00:00:00,000;1900;10;"octubre";4;"Trim. 4";5
1900-10-06 00:00:00,000;1900;10;"octubre";4;"Trim. 4";6
1900-10-07 00:00:00,000;1900;10;"octubre";4;"Trim. 4";7
1900-10-08 00:00:00,000;1900;10;"octubre";4;"Trim. 4";8
1900-10-09 00:00:00,000;1900;10;"octubre";4;"Trim. 4";9
